Text,Emotion
"['let', 'go', 'sad', 'feel', 'want', 'accept', 'thi', 'first', 'home', 'mine']",2
"['boat', 'trip', 'denmark']",1
"['stop', 'feel', 'cold', 'began', 'feel', 'hot']",3
"['need', 'feel', 'dough', 'make', 'sure', 'perfect']",1
"['found', 'feel', 'littl', 'discourag', 'morn']",0
"['feel', 'selfish', 'spoil']",3
"['wa', 'stymi', 'littl', 'bit', 'wrote', 'feel', 'unsur', 'might', 'go', 'somewher', 'stori', 'unintend']",4
"['bag', 'qaf', 'look', 'cryin', 'jacynth', 'lookin', 'good', 'feelin', 'gorgeou', 'rupaul', 'skin', 'scissor', 'sister', 'valentin', 'sun', 'fed', 'kayl', 'daddi', 'gerl', 'awak', 'unkind', 'u']",1
"['feel', 'know', 'basic', 'like', 'fake', 'realm', 'scienc', 'fiction']",0
"['hate', 'live', 'dad', 'roof', 'becaus', 'give', 'excus', 'asshol', 'becaus', 'provid', 'live', 'think', 'feel', 'need', 'make', 'feel', 'unwelcom', 'possibl', 'ill', 'leav']",0
"['keep', 'feel', 'pleasantli', 'surpris', 'hi', 'support', 'also', 'hi', 'eas', 'new', 'situat']",5
"['thi', 'feel', 'anymor', 'vigor', 'sexual', 'activ', 'come', 'ye', 'misspelt', 'cum', 'day', 'part', 'begin', 'fall']",1
"['feel', 'mom', 'grace', 'warm', 'love', 'smile', 'rob', 'time', 'nurtur', 'heal']",1
"['feel', 'talk', 'brother', 'law', 'extrem', 'popular', 'one', 'think', 'stiff']",1
"['ate', 'could', 'feel', 'gentl', 'tingl', 'throughout', 'almost', 'wa', 'feel', 'heal', 'take', 'place', 'cellular', 'level']",2
"['feel', 'like', 'pressur', 'young', 'beauti', 'thin', 'depend', 'trend', 'girl', 'rejuven', 'butt', 'implant']",4
"['began', 'sever', 'time', 'week', 'feel', 'tortur', 'hallucin', 'move', 'peopl', 'figur', 'sound', 'vibrat']",4
"['nearli', 'finish', 'week', 'detox', 'feel', 'amaz']",5
"['feel', 'selfish', 'read', 'back', 'former', 'post', 'never', 'ask', 'prayer', 'never', 'consid', 'may', 'deserv', 'prayer', 'answer', 'befor']",3
"['know', 'pain', 'parent', 'feel', 'enrag', 'child', 'becom', 'violent']",3
"['roller', 'coaster', 'emot', 'suppos', 'feel', 'someth', 'unpleas', 'wa', 'come']",0
"['suppos', 'truth', 'need', 'share', 'havent', 'feel', 'veri', 'faith', 'late', 'ive', 'dwell', 'doubt', 'uncertainti', 'faith']",2
"['wa', 'feel', 'brave', 'bought', 'clearli', 'wa', 'makeup']",1
"['feel', 'miser', 'c', 'also', 'proudest', 'mum', 'earth']",0
"['figur', 'famili', 'love', 'us', 'matter', 'around', 'anyon', 'els', 'feel', 'embarrass', 'michel', 'goe', 'ballist']",0
"['necessarili', 'think', 'f', 'bomb', 'sex', 'necessari', 'stori', 'feel', 'reassur', 'see', 'print', 'journal']",1
"['feel', 'ovari', 'ach', 'talk', 'like', 'put']",0
"['feel', 'like', 'much', 'chri', 'mostli', 'took', 'mani', 'pictur', 'unimport', 'stuff']",0
"['im', 'tire', 'book', 'readi', 'find', 'wa', 'given', 'unsuit', 'imag', 'feel', 'blame', 'result', 'sit', 'well']",0
"['success', 'manag', 'stretch', 'mxm', 'canva', 'feel', 'thi', 'achiev', 'wa', 'worthwhil', 'usag', 'money', 'time', 'use', 'canva', 'futur', 'brief']",1
"['think', 'feel', 'one', 'nay', 'import', 'thing']",1
"['feel', 'complet', 'honor', 'influenc', 'thi', 'young', 'talent', 'fulli', 'aliv', 'beauti', 'girl', 'woman']",1
"['feel', 'anger', 'firey']",3
"['feel', 'like', 'miser', 'piec', 'garbag']",0
"['feel', 'like', 'need', 'make', 'list', 'leann', 'would', 'appal', 'thought', 'dont', 'miss', 'anyth']",3
"['drove', 'dannika', 'school', 'wa', 'feel', 'littl', 'bit', 'rush', 'thi', 'greet', 'turn', 'corner']",3
"['rememb', 'feel', 'hellip', 'furiou', 'shooter']",3
"['feel', 'veri', 'happi', 'excit', 'sinc', 'learn', 'mani', 'thing']",1
"['feel', 'show', 'around', 'show', 'hors', 'peopl', 'trust', 'relax', 'becaus', 'show', 'hors', 'safe', 'quiet', 'handl', 'frequent']",1
"['onli', 'coupl', 'thing', 'left', 'make', 'start', 'decemb', 'done', 'feel', 'smug']",1
"['think', 'u', 'could', 'make', 'feel', 'realiz', 'everyth', 'ok']",1
"['feel', 'worthless', 'dure', 'time', 'wa', 'struggl', 'find', 'work']",0
"['abl', 'lay', 'bed', 'dark', 'feel', 'terrifi', 'least']",4
"['wa', 'readi', 'meet', 'mom', 'airport', 'feel', 'ever', 'support', 'arm', 'around']",2
"['im', 'feel', 'bitter', 'today', 'mood', 'ha', 'strang', 'entir', 'day', 'guess']",3
"['mum', 'brother', 'pass', 'away', 'involv', 'car', 'accid', 'wa', 'bring', 'present', 'pass', 'form', 'five', 'exam', 'fli', 'colour']",0
"['let', 'go', 'animos', 'toward', 'anyon', 'feel', 'ha', 'wrong']",3
"['talk', 'dog', 'feel', 'understand', 'word', 'read', 'emot', 'know', 'support', 'decid', 'go', 'home']",2
"['feel', 'like', 'throw', 'away', 'shitti', 'piec', 'shit', 'paper']",0
"['im', 'start', 'feel', 'wryli', 'amus', 'banal', 'comedi', 'error', 'life', 'turn']",1
"['find', 'everi', 'bodi', 'beauti', 'onli', 'want', 'peopl', 'feel', 'vital', 'bodi']",1
"['hear', 'owner', 'feel', 'victim', 'associ', 'associ', 'attorney', 'properti', 'manag']",0
"['say', 'goodby', 'fam', 'theyr', 'sad', 'cri', 'feel', 'like', 'heartless', 'bitch', 'becaus', 'hey', 'im', 'pretti', 'excit', 'fli', 'first', 'time', 'know', 'also', 'spend', 'year', 'anoth', 'countri']",3
"['wont', 'let', 'child', 'cri', 'becaus', 'feel', 'love', 'lili', 'wa', 'littl', 'wa', 'go', 'opportun', 'onli', 'last', 'short', 'month']",2
"['alba', 'feel', 'good', 'im', 'fit']",1
"['feel', 'excit', 'im', 'feel', 'like', 'ton', 'catch']",1
"['also', 'know', 'good', 'feel', 'look', 'back', 'see', 'honor', 'word', 'help', 'start']",1
"['mean', 'realli', 'realli', 'hard', 'work', 'obtain', 'high', 'technic', 'skill', 'wushu', 'feel', 'kinda', 'asham', 'somehow', 'motiv', 'saw', 'kid', 'wushu', 'perform', 'whole', 'heartedli', 'despit', 'tired']",0
"['feel', 'like', 'thing', 'get', 'littl', 'overwhelm', 'spritz', 'thi', 'toner', 'realli', 'help', 'calm', 'sooth']",1
"['hope', 'realiz', 'littl', 'effort', 'requir', 'make', 'person', 'feel', 'better', 'themselv', 'situat', 'whether', 'famili', 'member', 'colleg', 'high', 'school', 'friend', 'neighbor', 'street', 'even', 'complet', 'stranger']",1
"['feel', 'festiv', 'today', 'even', 'go', 'put', 'tree', 'soon', 'finish', 'thi', 'catch', 'week', 'go', 'coron', 'street']",1
"['find', 'ill', 'serious']",1
"['alright', 'class', 'combin', 'feel', 'unsuccess', 'man', 'handl', 'stress', 'late', 'horribl', 'week', 'result', 'almost', 'cri', 'finish', 'grappl']",0
"['feel', 'rare', 'advanc', 'ani', 'worthwhil', 'caus', 'alway', 'stick', 'rule', 'post', 'anyth', 'onlin', 'wouldnt', 'prepar', 'say', 'somebodi', 'face']",1
"['feel', 'use']",1
"['feel', 'like', 'pain', 'imagin', 'becom', 'passion', 'group', 'idea', 'caus', 'pain']",2
"['feel', 'ugli', 'inclin', 'wear', 'ratti', 'jean', 'sweatshirt', 'beauti', 'dress', 'though', 'might', 'still', 'wear', 'pair', 'heel', 'around', 'hous', 'boost', 'self', 'esteem', 'ever', 'slightli', 'definit', 'bother', 'buy', 'new', 'pair']",0
"['im', 'feel', 'homesick', 'yet', 'im', 'feel', 'alright', 'thi']",0
"['danc', 'feel', 'pretti']",1
"['workout', 'everi', 'morn', 'befor', 'feel', 'fabul']",1
"['feel', 'thi', 'eye', 'touch', 'word', 'eye', 'know', 'assuredli', 'return', 'thi', 'love', 'know', 'shall', 'vain']",0
"['wa', 'feel', 'fabul', 'friday', 'morn', 'start', 'get', 'aw', 'cramp', 'work']",1
"['feel', 'honour', 'abl', 'call', 'friend', 'share', 'brotherhood']",1
"['begun', 'feel', 'apprehens', 'thick', 'black', 'rain', 'cloud', 'storm', 'sky', 'abov', 'town']",4
"['state', 'reason', 'feel', 'fear', 'becaus', 'feel', 'unsaf']",4
"['feel', 'like', 'get', 'shaken', 'tsa', 'quit', 'yet', 'pull', 'side', 'creativ', 'croissant', 'lunch']",4
"['get', 'group', 'feel', 'realli', 'awkward', 'overcompens', 'talk', 'get', 'realli', 'quiet']",0
"['veri', 'excit', 'final', 'meet', 'companion', 'companion', 'time', 'especi', 'lone', 'veri', 'lone', 'companion', 'never', 'disappoint', 'companion', 'put', 'hi', 'arm', 'around', 'make', 'feel', 'love']",2
"['feel', 'pretti', 'safe', 'blog', 'img', 'src', 'http']",1
"['feel', 'pretti', 'eager', 'get', 'done', 'fun', 'plan', 'quilt']",1
"['feel', 'horni', 'ask', 'let', 'go', 'home']",2
"['think', 'poem', 'put', 'pressur', 'feel', 'uncomfort', 'sens', 'feel', 'feel', 'understand', 'understand', 'love', 'abl', 'love']",4
"['feel', 'stranger', 'strang', 'land', 'rais', 'son', 'place', 'hi', 'father', 'ancestr', 'home']",5
"['left', 'shower', 'question', 'feel', 'wa', 'gorgeou', 'fantast', 'bodi', 'confid', 'movement', 'effortlessli', 'grace']",1
"['feel', 'energet', 'bounci', 'happi', 'go', 'gym', 'run', 'around', 'outsid', 'kid', 'take', 'pram', 'long', 'walk', 'often', 'three', 'one', 'day']",1
"['wa', 'still', 'feel', 'strong']",1
"['burst', 'tear', 'devast', 'releas', 'feel', 'thought', 'becaus', 'seem', 'know', 'rich', 'also', 'go', 'hi', 'space', 'without', 'dump']",1
"['want', 'get', 'pumpkin', 'spice', 'latt', 'thi', 'morn', 'wa', 'hot', 'last', 'thing', 'want', 'wa', 'hot', 'coffe', 'mayb', 'feel', 'littl', 'bitter']",3
"['suppos', 'feel', 'badli', 'becaus', 'wa', 'bit', 'skeptic', 'pain', 'last', 'month', 'hyperchondria', 'exagger', 'habit', 'past', 'though', 'never', 'openli', 'question']",4
"['clench', 'corner', 'bed', 'feel', 'assur']",1
"['also', 'feel', 'like', 'selfish', 'grate', 'life', 'amaz', 'thing']",3
"['call', 'god', 'becaus', 'seen', 'god', 'book', 'figur', 'god', 'wa', 'right', 'name', 'feel', 'utterli', 'affirm', 'accept', 'without', 'question']",2
"['know', 'whi', 'perhap', 'becaus', 'girl', 'offic', 'nice', 'short', 'hair', 'perhap', 'wa', 'feel', 'rebelli']",3
"['feel', 'miser', 'becaus', 'famili', 'type', 'celebr', 'eid']",0
"['might', 'go', 'get', 'car', 'wash', 'feel', 'realli', 'gener', 'car', 'need']",1
"['still', 'feel', 'sleep', 'depriv', 'almost', 'sleep', 'night', 'give', 'us']",0
"['feel', 'realli', 'violent', 'right']",3
"['bloge', 'sit', 'feel', 'content', 'dog', 'amp', 'cat', 'etc', 'know', 'lucki', 'truth']",1
"['start', 'feel', 'funni', 'friday', 'woke', 'sick', 'dog']",5
"['feel', 'need', 'protect', 'parent', 'witch', 'hunt', 'repress', 'memori', 'therapi']",0
"['feel', 'disgust', 'even', 'associ', 'thi', 'woman', 'race', 'nation']",3
"['laugh', 'bitterli', 'wasnt', 'feel', 'bitter']",3
"['know', 'wa', 'feel', 'thought', 'wish', 'could', 'us', 'us', 'knew', 'howev', 'much', 'hate', 'first', 'wa', 'experi', 'would', 'rememb', 'forev']",0
"['wa', 'feel', 'quit', 'mellow', 'want', 'soft', 'easi', 'look', 'wear', 'begin', 'cold']",1
"['told', 'mayb', 'need', 'time', 'think', 'ive', 'feel', 'indecis', 'thing', 'late']",4
"['still', 'feel', 'doe', 'genr', 'disservic', 'stori', 'resolv', 'artif']",1
"['alway', 'know', 'feel', 'artist', 'write', 'name', 'artist', 'mood', 'manitz', 'draw', 'circl', 'dot', 'bigger', 'dot', 'artist', 'feel', 'line', 'like', 'accent', 'mark', 'spanish', 'im', 'piss']",1
"['rememb', 'feel', 'realli', 'terrifi', 'wa', 'brazil', 'bu', 'wa', 'go', 'steep', 'mountain', 'hill', 'side', 'mountain', 'middl', 'big', 'storm', 'wonder', 'go', 'fall']",4
"['could', 'feel', 'whimper', 'thought', 'unlov', 'uncar']",0
"['im', 'certainli', 'go', 'sit', 'tell', 'go', 'person', 'life', 'feel', 'ever', 'curiou', 'go', 'life', 'youd', 'watch', 'show']",5
"['im', 'sorri', 'wasnt', 'humor', 'thi', 'post', 'im', 'feel', 'funni']",5
"['feel', 'ive', 'got', 'foot', 'door', 'fantast', 'world', 'walk', 'run', 'trail', 'fell', 'mountain']",1
"['say', 'whatev', 'come', 'mind', 'tell', 'directli', 'feel', 'jealou', 'girl', 'becaus', 'insecur', 'becaus', 'love', 'person', 'trust', 'worthi', 'friend', 'sweet', 'one', 'love']",3
"['feel', 'strang', 'come', 'back', 'work', 'one', 'day', 'holiday']",4
"['im', 'clearli', 'influenc', 'dash', 'happi', 'emili', 'dickinson', 'exampl', 'use', 'dash', 'instead', 'colon', 'semi', 'colon', 'enhanc', 'feel', 'rush', 'enjamb', 'sonnet']",3
"['fatter', 'becaus', 'onli', 'thing', 'life', 'remain', 'control', 'whether', 'get', 'eat', 'peanut', 'butter', 'bread', 'get', 'home', 'imposs', 'day', 'first', 'world', 'look', 'yet', 'third', 'world', 'feel', 'hell', 'needi', 'neglect', 'littl', 'girl']",0
"['could', 'claim', 'redeem', 'genr', 'leav', 'feel', 'entir', 'frustrat', 'point', 'beat', 'head', 'wall', 'either']",3
"['feel', 'sad', 'hopeless']",0
"['im', 'get', 'feel', 'class', 'littl', 'intimid', 'concept', 'lit']",4
"['still', 'feel', 'groggi', 'get', 'routin', 'son']",0
"['feel', 'view', 'isnt', 'go', 'veri', 'popular', 'fine']",1
"['want', 'hold', 'thi', 'feel', 'shock', 'awe', 'wonder', 'forev']",5
"['heard', 'rumour', 'st', 'year', 'exam', 'result', 'fear', 'might', 'one', 'failur']",4
"['want', 'feel', 'valu', 'appreci', 'know', 'peopl', 'love', 'arent', 'go', 'anywher', 'even', 'natur', 'relationship', 'chang']",1
"['know', 'day', 'feel', 'distract']",3
"['use', 'regularli', 'relax', 'music', 'alway', 'feel', 'invigor', 'afterward']",1
"['im', 'feel', 'distract', 'tend', 'practic', 'eye', 'shut', 'much', 'possibl']",3
"['feel', 'like', 'perfect', 'w', 'see', 'youtub', 'ha', 'influenc', 'even', 'know', 'trend']",1
"['specif', 'want', 'tango', 'wa', 'feel', 'shi', 'mak', 'quit', 'opposit', 'hard', 'get', 'far', 'enough', 'away', 'get', 'good', 'pic', 'lol']",4
"['also', 'feel', 'veri', 'weird', 'sleep', 'bed', 'two', 'slept']",4
"['wish', 'okay', 'wa', 'think', 'earlier', 'today', 'thing', 'coop', 'amp', 'restless', 'ha', 'made', 'feel', 'needi']",0
"['ive', 'lost', 'weight', 'could', 'fit', 'tini', 'skirt', 'ive', 'unabl', 'wear', 'becaus', 'didnt', 'feel', 'confid']",1
"['hope', 'feel', 'bit', 'creativ', 'soon', 'miss', 'presenc', 'life', 'blog']",1
"['fan', 'current', 'presid', 'conserv', 'made', 'feel', 'unwelcom']",0
"['enclos', 'vers', 'could', 'weigh', 'much', 'think', 'feel', 'curiou', 'hear', 'odd', 'coupl']",5
"['begin', 'feel', 'complac', 'life']",1
"['feel', 'vulner', 'alon']",4
"['rememb', 'feel', 'inspir', 'think', 'wa', 'fine', 'exampl', 'parent']",1
"['feel', 'like', 'alway', 'one', 'get', 'punish', 'stupid', 'thing', 'feel', 'like', 'chastis', 'behav']",0
"['realli', 'feel', 'life', 'perfect', 'right', 'isnt', 'much', 'ask', 'hope', 'everyth', 'would', 'stay']",1
"['im', 'simpli', 'feel', 'content']",1
"['im', 'say', 'cut', 'everyon', 'life', 'feel', 'import', 'find', 'comfort', 'solitud', 'medit', 'work', 'project', 'alon']",1
"['think', 'im', 'stupid', 'feel', 'nervou']",4
"['feel', 'honor']",1
"['wa', 'feel', 'act', 'god', 'work', 'life', 'wa', 'amaz', 'feel']",5
"['feel', 'im', 'like', 'bird', 'fli', 'air', 'veri', 'carefre', 'manner']",1
"['revis', 'repli', 'mind', 'make', 'sure', 'repli', 'sound', 'appropri', 'enough', 'person', 'receiv', 'repli', 'feel', 'offend']",3
"['felt', 'sad', 'friend', 'mine', 'die', 'felt', 'someth', 'irrevoc', 'gone', 'away']",0
"['die', 'would', 'alex', 'matt', 'feel', 'regret', 'come', 'visit']",0
"['feel', 'educ', 'famili', 'support', 'educationg', 'mama', 'papa', 'key']",1
"['im', 'sure', 'becaus', 'lost', 'feel', 'like', 'everyon', 'hostil', 'toward', 'hate', 'feel']",3
"['feel', 'like', 'veri', 'bore', 'sew', 'make', 'sinc', 'easi', 'noth', 'els', 'say', 'fabric', 'usag']",0
"['alway', 'like', 'use', 'origin', 'fragranc', 'freshen', 'lightli', 'scent', 'underwear', 'drawer', 'feel', 'gorgeous', 'glamor', 'girli']",1
"['feel', 'like', 'talent', 'young', 'man', 'feel', 'talent', 'work']",1
"['feel', 'curiou', 'thi', 'thing', 'around']",5
"['feel', 'reason', 'apart', 'live', 'becaus', 'im', 'hi', 'help', 'becom', 'someth', 'push', 'succeed', 'success', 'happi']",1
"['feel', 'uncomfort', 'guess']",4
"['feel', 'pretti', 'mellow', 'far', 'whatev', 'heal', 'wound', 'process', 'may', 'get', 'underway']",1
"['wonder', 'sometim', 'whether', 'ad', 'antagon', 'misunderstand', 'mani', 'peopl', 'toward', 'us', 'feel', 'reluct', 'wholeheartedli', 'support', 'tradit', 'armistic', 'day', 'remembr']",4
"['leg', 'would', 'feel', 'shitti', 'mile', 'would', 'come', 'around', 'like', 'alway']",0
"['know', 'unfair', 'reaction', 'run', 'way', 'explain', 'feel', 'shaken', 'best', 'come', 'right']",4
"['serious', 'feel', 'bless', 'support', 'home', 'amaz']",2
"['feel', 'abus', 'malign', 'mostli', 'tire', 'nervou', 'feel', 'anticip', 'danger']",0
"['feel', 'pretti', 'restless', 'right', 'type', 'thi']",4
"['know', 'gosman', 'touristi', 'place', 'go', 'montauk', 'area', 'infrequ', 'visitor', 'thi', 'area', 'want', 'head', 'harbor', 'feel', 'gentl', 'caw', 'seagul', 'lap', 'water', 'wood', 'pile', 'relax', 'breez', 'come', 'water']",2
"['admit', 'hilari', 'e', 'card', 'serious', 'exactli', 'feel', 'stress', 'feel', 'ani', 'moment', 'could', 'start', 'hy']",0
"['wrote', 'last', 'year', 'wa', 'feel', 'dull', 'inarticul', 'normal']",0
"['id', 'kick', 'gear', 'feel', 'irrit', 'motiv', 'ever']",3
"['feel', 'child', 'innoc', 'feel', 'illustr']",1
"['satisfact', 'feel', 'longer', 'support', 'contribut', 'looter', 'driven', 'consumer', 'ha', 'made', 'walk', 'corps', 'america', 'rever', 'wa', 'younger']",2
"['start', 'feel', 'resent']",3
"['spend', 'vacat', 'oblig', 'headach', 'feel', 'like', 'emot', 'blackmail', 'three', 'place', 'onc']",0
"['feel', 'herp', 'come', 'would', 'veri', 'surpris', 'thi', 'point', 'make', 'checkup', 'clinic', 'wednesday']",5
"['feel', 'fuck', 'like', 'everyday', 'life']",3
"['ive', 'work', 'realli', 'hard', 'year', 'tri', 'make', 'child', 'class', 'feel', 'like', 'valu']",1
"['feel', 'dishearten', 'word', 'late']",0
"['feel', 'like', 'wa', 'bitchi', 'time', 'upon', 'retrospect', 'whi', 'think', 'wa', 'tri', 'shake']",3
"['still', 'second', 'guess', 'still', 'terribl', 'time', 'make', 'definit', 'decis', 'certain', 'truth', 'know', 'feel', 'assur', 'truth']",1
"['feel', 'like', 'egg', 'benedict', 'someth', 'equal', 'delici']",1
"['im', 'feel', 'way', 'trust']",1
"['im', 'feel', 'inspir', 'summeri', 'element', 'favorit', 'past', 'time', 'beach', 'bummin']",1
"['feel', 'smile', 'love', 'even', 'gorgeou']",1
"['continu', 'defin', 'discov', 'home', 'mean', 'amsterdam', 'whenev', 'feel', 'pang', 'blank', 'sick', 'line', 'miss', 'cultur', 'mindset', 'american', 'citi', 'life', 'much', 'differ', 'cultur', 'mindset', 'amsterdam']",0
"['make', 'arcad', 'veri', 'simpl', 'purpos', 'tri', 'make', 'feel', 'absolut', 'comfort', 'physic', 'emot', 'practic', 'absolut']",1
"['say', 'feel', 'sympathet']",2
"['wa', 'feel', 'eager', 'hop', 'tube', 'ride', 'eye', 'london']",1
"['go', 'onlin', 'see', 'friend', 'talk', 'anoth', 'one', 'talk', 'feel', 'ignor', 'feel', 'unlov']",0
"['monitor', 'say', 'anyth', 'ever', 'come', 'across', 'ani', 'blog', 'feel', 'offend', 'pleas', 'dont', 'stop']",3
"['feel', 'like', 'weird', 'cancer', 'one', 'time']",5
"['want', 'feel', 'safe', 'well', 'mayb', 'mayb', 'small', 'chanc', 'feel', 'joy', 'dream', 'come', 'true']",1
"['im', 'feel', 'cranki']",3
"['also', 'think', 'puzzl', 'thi', 'particular', 'administr', 'ha', 'singl', 'prais', 'abil', 'get', 'student', 'read', 'feel', 'ssr', 'time', 'product', 'use', 'class', 'time']",1
"['tri', 'fill', 'befriend', 'peopl', 'knew', 'onli', 'use', 'didnt', 'care', 'becaus', 'need', 'feel', 'accept', 'even', 'wa', 'complet', 'loser']",2
"['feel', 'stress', 'alway']",0
"['rememb', 'feel', 'anoth', 'cramp', 'also', 'ignor']",0
"['hope', 'feel', 'mellow', 'well', 'fed', 'well', 'slept', 'peac', 'within', 'thi', 'extern', 'world']",1
"['also', 'learn', 'take', 'lot', 'effort', 'posit', 'think', 'break', 'tear', 'feel', 'exhaust', 'guilti', 'better', 'mom']",0
"['im', 'feel', 'aw', 'becaus', 'hung', 'friend', 'new', 'babi', 'day', 'befor']",0
"['feel', 'veri', 'relax', 'fine']",1
"['feel', 'suffer', 'realli', 'feel', 'pain']",0
"['go', 'sleep', 'feel', 'give', 'preciou', 'time', 'someth', 'els', 'life']",1
"['feel', 'like', 'neglect', 'belov', 'mom', 'blog']",1
"['shalt', 'say', 'co', 'din', 'feel', 'thing', 'wrote', 'hw', 'keen', 'xxx']",1
"['feel', 'terrifi', 'like', 'im', 'edg', 'precipic', 'stare', 'ahead']",4
"['feel', 'total', 'listless', 'exam', 'come', 'gone', 'whole', 'five', 'month', 'front', 'uni', 'free', 'time']",0
"['feel', 'furiou', 'right', 'life', 'advoc', 'tell', 'live', 'die', 'lobbi', 'support', 'politician', 'sympath', 'view']",3
"['feel', 'wa', 'abus', 'way']",0
"['im', 'still', 'pay', 'attent', 'feel', 'distract']",3
